movie_names,movie_types,movie_director,movie_actor,movie_dis,movie_grade,movie_addr,movie_year
天使爱美丽 Le fabuleux destin d'Amélie Poulain,剧情 / 喜剧 / 爱情,让-皮埃尔·热内,奥黛丽·塔图 / 马修·卡索维茨 / 吕菲斯,851775,8.7,法国/德国,21世纪00年代
罗马假日 Roman Holiday,喜剧 / 剧情 / 爱情,威廉·惠勒,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特,804519,9.0,美国,20世纪50年代
楚门的世界 The Truman Show,剧情 / 科幻,彼得·威尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯,1316053,9.3,美国,20世纪90年代
音乐之声 The Sound of Music,剧情 / 传记 / 爱情 / 歌舞,罗伯特·怀斯,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克,494347,9.1,美国,20世纪60年代
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,喜剧 / 爱情 / 奇幻 / 古装,刘镇伟,周星驰 / 吴孟达 / 朱茵,1276428,9.2,中国香港/中国大陆,20世纪90年代
活着,剧情 / 历史 / 家庭,张艺谋,葛优 / 巩俐 / 姜武,673208,9.3,中国大陆/中国香港,20世纪90年代
钢琴家 The Pianist,剧情 / 传记 / 战争 / 音乐,罗曼·波兰斯基,艾德里安·布洛迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯,461522,9.2,英国/法国/波兰/德国/美国,21世纪00年代
被嫌弃的松子的一生 嫌われ松子の一生,剧情 / 歌舞,中岛哲也,中谷美纪 / 永山瑛太 / 香川照之,604658,8.9,日本,21世纪00年代
上帝之城 Cidade de Deus,犯罪 / 剧情,费尔南多·梅里尔斯 / 卡迪亚·兰德,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森,256895,9.0,巴西/法国,21世纪00年代
一一,剧情 / 爱情 / 家庭,杨德昌,1165979 / 李凯莉 / 金燕玲,295418,9.1,中国台湾/日本,21世纪00年代
雨中曲 Singin' in the Rain,喜剧 / 歌舞 / 爱情,斯坦利·多南 / 吉恩·凯利,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯,172022,9.1,美国,20世纪50年代
完美的世界 A Perfect World,剧情 / 犯罪,克林特·伊斯特伍德,凯文·科斯特纳 / 劳拉·邓恩 / 克林特·伊斯特伍德,235500,9.1,美国,20世纪90年代
伴我同行 Stand by Me,剧情 / 儿童 / 冒险,罗伯·莱纳,瑞凡·菲尼克斯 / 威尔·惠顿 / 科里·费尔德曼,92714,8.9,美国,20世纪80年代
大独裁者 The Great Dictator,喜剧 / 剧情 / 战争,查理·卓别林,查理·卓别林 / 宝莲·高黛 / 杰克·奥克,60958,9.1,美国,20世纪40年代
